ticker,cik,bolsa,sector,variables_descargadas
BCO,0000078890,NYSE,Arrangement of  Transportation of  Freight & Cargo,31
SKY,0000090896,NYSE,Mobile Homes,32
SAIC,0001571123,Nasdaq,Services-Computer Integrated Systems Design,33
CSW,0001624794,NYSE,Adhesives & Sealants,33
MWA,0001350593,NYSE,Miscellaneous Fabricated Metal Products,35
BFAM,0001437578,NYSE,Services-Child Day Care Services,32
NOVT,0001076930,Nasdaq,"Miscellaneous Electrical Machinery, Equipment & Supplies",37
BTU,0001064728,NYSE,Bituminous Coal & Lignite Surface Mining,30
AIR,0000001750,NYSE,Aircraft & Parts,31
THO,0000730263,NYSE,Motor Homes,34
USAR,0001970622,Nasdaq,Metal Mining,21
NVST,0001757073,NYSE,Dental Equipment & Supplies,34
NG,0001173420,NYSE,Gold and Silver Ores,24
TMDX,0001756262,Nasdaq,Electromedical & Electrotherapeutic Apparatus,31
QS,0001811414,Nasdaq,"Miscellaneous Electrical Machinery, Equipment & Supplies",21
SNDR,0001692063,NYSE,Trucking (No Local),28
LGND,0000886163,Nasdaq,Pharmaceutical Preparations,34
LEU,0001065059,NYSE,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),34
MMSI,0000856982,Nasdaq,Surgical & Medical Instruments & Apparatus,37
MDU,0000067716,NYSE,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),28
ALH,0001317685,NYSE,Refrigeration & Service Industry Machinery,27
BBWI,0000701985,NYSE,"Retail-Retail Stores, NEC",33
ERAS,0001761918,Nasdaq,Pharmaceutical Preparations,20
CALM,0000016160,Nasdaq,Agricultural Prod-Livestock & Animal Specialties,34
BILL,0001786352,NYSE,Services-Prepackaged Software,33
MYRG,0000700923,Nasdaq,"Water, Sewer, Pipeline, Comm & Power Line Construction",36
CROX,0001334036,Nasdaq,Rubber & Plastics Footwear,36
ACIW,0000935036,Nasdaq,Services-Prepackaged Software,33
VKTX,0001607678,Nasdaq,Pharmaceutical Preparations,21
FELE,0000038725,Nasdaq,Motors & Generators,34
LBTYA,0001570585,Nasdaq,Cable & Other Pay Television Services,28
ANF,0001018840,NYSE,Retail-Family Clothing Stores,27
ITRI,0000780571,Nasdaq,Instruments For Meas & Testing of  Electricity & Elec Signals,35
TREX,0001069878,NYSE,Lumber & Wood Products (No Furniture),34
VISN,0001517228,Nasdaq,Radio & Tv Broadcasting & Communications Equipment,34
TPH,0001561680,NYSE,Operative Builders,28
LASR,0001124796,Nasdaq,Semiconductors & Related Devices,36
CRNX,0001658247,Nasdaq,Pharmaceutical Preparations,27
SMR,0001822966,NYSE,Fabricated Plate Work (Boiler Shops),28
CCC,0001818201,Nasdaq,Services-Prepackaged Software,31
SPHR,0001795250,NYSE,Services-Amusement & Recreation Services,31
HRB,0000012659,NYSE,Services-Personal Services,30
CVCO,0000278166,Nasdaq,Mobile Homes,32
SHC,0001822479,Nasdaq,"Services-Misc Health & Allied Services, NEC",33
MMS,0001032220,NYSE,"Services-Business Services, NEC",31
INDV,0001625297,Nasdaq,Pharmaceutical Preparations,30
FLY,0001860160,Nasdaq,Guided Missiles & Space Vehicles & Parts,31
AMRX,0001723128,Nasdaq,Pharmaceutical Preparations,34
MZTI,0000057515,Nasdaq,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties",31
GTLB,0001653482,Nasdaq,Services-Prepackaged Software,28
CVSA,0000730464,NYSE,Services-Educational Services,30
SHAK,0001620533,NYSE,Retail-Eating & Drinking Places,26
KTB,0001760965,NYSE,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",34
ADMA,0001368514,Nasdaq,"Biological Products, (No Diagnostic Substances)",35
LRN,0001157408,NYSE,Services-Educational Services,38
PPTA,0001526243,Nasdaq,Gold and Silver Ores,17
PATK,0000076605,Nasdaq,Motor Vehicle Parts & Accessories,35
IRTC,0001388658,Nasdaq,Surgical & Medical Instruments & Apparatus,31
SXT,0000310142,NYSE,Industrial Organic Chemicals,33
TDW,0000098222,NYSE,Water Transportation,30
GEF,0000043920,NYSE,"Metal Shipping Barrels, Drums, Kegs & Pails",33
TPC,0000077543,NYSE,General Bldg Contractors - Nonresidential Bldgs,29
GPI,0001031203,NYSE,Retail-Auto Dealers & Gasoline Stations,27
BETA,0001784570,NYSE,Aircraft,27
SKYW,0000793733,Nasdaq,"Air Transportation, Scheduled",27
AZZ,0000008947,NYSE,"Coating, Engraving & Allied Services",37
VSCO,0001856437,NYSE,Retail-Women's Clothing Stores,31
ABG,0001144980,NYSE,Retail-Auto Dealers & Gasoline Stations,33
FSLY,0001517413,Nasdaq,Services-Prepackaged Software,30
WHR,0000106640,NYSE,Household Appliances,35
HRI,0001364479,NYSE,Services-Miscellaneous Equipment Rental & Leasing,29
STNE,0001745431,Nasdaq,Services-Computer Processing & Data Preparation,0
SMG,0000825542,NYSE,Agricultural Chemicals,34
CBT,0000016040,NYSE,Miscellaneous Chemical Products,36
CAR,0000723612,Nasdaq,Services-Auto Rental & Leasing (No Drivers),26
HGV,0001674168,NYSE,"Hotels, Rooming Houses, Camps & Other Lodging Places",25
DAN,0000026780,NYSE,Motor Vehicle Parts & Accessories,32
CORT,0001088856,Nasdaq,Pharmaceutical Preparations,34
ACAD,0001070494,Nasdaq,Pharmaceutical Preparations,34
KAI,0000886346,NYSE,Special Industry Machinery (No Metalworking Machinery),36
KBH,0000795266,NYSE,Operative Builders,18
USLM,0000082020,Nasdaq,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),33
CVLT,0001169561,Nasdaq,Services-Prepackaged Software,33
WK,0001445305,NYSE,Services-Prepackaged Software,30
BOX,0001372612,NYSE,Services-Prepackaged Software,32
SIG,0000832988,NYSE,Retail-Jewelry Stores,36
KLIC,0000056978,Nasdaq,Semiconductors & Related Devices,36
CSTM,0001563411,NYSE,Secondary Smelting & Refining of  Nonferrous Metals,28
BKD,0001332349,NYSE,Services-Nursing & Personal Care Facilities,30
SYRE,0001636282,Nasdaq,Pharmaceutical Preparations,22
STNG,0001483934,NYSE,Deep Sea Foreign Transportation of  Freight,0
LIVN,0001639691,Nasdaq,Electromedical & Electrotherapeutic Apparatus,38
DNTH,0001690585,Nasdaq,Pharmaceutical Preparations,24
QLYS,0001107843,Nasdaq,Services-Prepackaged Software,31
CALX,0001406666,NYSE,"Communications Services, NEC",35
GTX,0001735707,Nasdaq,Motor Vehicle Parts & Accessories,28
GFF,0000050725,NYSE,"Metal Doors, Sash, Frames, Moldings & Trim",33
LCID,0001811210,Nasdaq,Motor Vehicles & Passenger Car Bodies,32
MHO,0000799292,NYSE,Operative Builders,22
INSW,0001679049,NYSE,Water Transportation,25
PRM,0001880319,NYSE,Chemicals & Allied Products,36
LIF,0001581760,Nasdaq,Services-Computer Processing & Data Preparation,32
ASO,0001817358,Nasdaq,Retail-Miscellaneous Shopping Goods Stores,30
COCO,0001482981,Nasdaq,Beverages,34
NIQ,0002054696,NYSE,"Services-Computer Programming, Data Processing, Etc.",26
FRPT,0001611647,Nasdaq,Grain Mill Products,30
SOUN,0001840856,Nasdaq,Services-Prepackaged Software,29
RELY,0001782170,Nasdaq,"Services-Business Services, NEC",24
DNLI,0001714899,Nasdaq,"Biological Products, (No Diagnostic Substances)",22
EWTX,0001710072,Nasdaq,Pharmaceutical Preparations,21
ALMS,0001847367,Nasdaq,Pharmaceutical Preparations,21
EXPO,0000851520,Nasdaq,Services-Management Consulting Services,22
RNG,0001384905,NYSE,Services-Computer Processing & Data Preparation,33
PLUG,0001093691,Nasdaq,Electrical Industrial Apparatus,36
LQDA,0001819576,Nasdaq,Pharmaceutical Preparations,27
NATL,0001974138,NYSE,Calculating & Accounting Machines (No Electronic Computers),29
FIZZ,0000069891,Nasdaq,Bottled & Canned Soft Drinks & Carbonated Waters,29
ICUI,0000883984,Nasdaq,Surgical & Medical Instruments & Apparatus,37
WSC,0001647088,Nasdaq,Services-Miscellaneous Equipment Rental & Leasing,33
WHD,0001699136,NYSE,Oil & Gas Field Machinery & Equipment,29
KFY,0000056679,NYSE,Services-Employment Agencies,31
CARG,0001494259,Nasdaq,Services-Computer Processing & Data Preparation,35
TR,0000098677,NYSE,Sugar & Confectionery Products,27
CNK,0001385280,NYSE,Services-Motion Picture Theaters,30
AVNT,0001122976,NYSE,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",34
AAP,0001158449,NYSE,Retail-Auto & Home Supply Stores,33
RUN,0001469367,Nasdaq,"Miscellaneous Electrical Machinery, Equipment & Supplies",35
ACMR,0001680062,Nasdaq,"Special Industry Machinery, NEC",32
HAYW,0001834622,NYSE,Refrigeration & Service Industry Machinery,33
QTWO,0001410384,NYSE,Services-Prepackaged Software,32
DORM,0000868780,Nasdaq,Motor Vehicle Parts & Accessories,34
SXI,0000310354,NYSE,Refrigeration & Service Industry Machinery,34
DIOD,0000029002,Nasdaq,Semiconductors & Related Devices,35
DYN,0001818794,Nasdaq,Pharmaceutical Preparations,22
BATRA,0001958140,Nasdaq,Services-Amusement & Recreation Services,22
ITGR,0001114483,NYSE,Electromedical & Electrotherapeutic Apparatus,36
PVH,0000078239,NYSE,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",32
GBTG,0001820872,NYSE,Transportation Services,29
FLNC,0001868941,Nasdaq,"Miscellaneous Electrical Machinery, Equipment & Supplies",29
HWKN,0000046250,Nasdaq,Wholesale-Chemicals & Allied Products,36
PII,0000931015,NYSE,Miscellaneous Transportation Equipment,35
IDYA,0001676725,Nasdaq,Pharmaceutical Preparations,21
WDFC,0000105132,Nasdaq,Miscellaneous Chemical Products,39
PI,0001114995,Nasdaq,"Electronic Components, NEC",35
MTRN,0001104657,NYSE,Metal Forgings & Stampings,35
PBH,0001295947,NYSE,Pharmaceutical Preparations,33
LCII,0000763744,NYSE,Motor Vehicle Parts & Accessories,33
FUL,0000039368,NYSE,Adhesives & Sealants,35
IAC,0001800227,Nasdaq,"Services-Computer Programming, Data Processing, Etc.",29
COLM,0001050797,Nasdaq,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,35
TARS,0001819790,Nasdaq,"Biological Products, (No Diagnostic Substances)",31
AEO,0000919012,NYSE,Retail-Family Clothing Stores,32
TTAM,0002035304,NYSE,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),0
WU,0001365135,NYSE,"Services-Business Services, NEC",26
CON,0002014596,NYSE,"Services-Specialty Outpatient Facilities, NEC",23
OLN,0000074303,NYSE,Chemicals & Allied Products,33
SUPN,0001356576,Nasdaq,Pharmaceutical Preparations,34
VRDN,0001590750,Nasdaq,Pharmaceutical Preparations,29
YETI,0001670592,NYSE,"Sporting & Athletic Goods, NEC",33
OPLN,0001395942,NYSE,Retail-Auto Dealers & Gasoline Stations,30
SYNA,0000817720,Nasdaq,Semiconductors & Related Devices,38
TWST,0001581280,Nasdaq,"Biological Products, (No Diagnostic Substances)",31
GPK,0001408075,NYSE,Paperboard Containers & Boxes,33
CAKE,0000887596,Nasdaq,Retail-Eating  Places,32
IPAR,0000822663,Nasdaq,"Perfumes, Cosmetics & Other Toilet Preparations",35
WRBY,0001504776,NYSE,Ophthalmic Goods,26
KD,0001867072,NYSE,Services-Computer Integrated Systems Design,24
CPRX,0001369568,Nasdaq,Pharmaceutical Preparations,32
VRNS,0001361113,Nasdaq,Services-Prepackaged Software,31
KMT,0000055242,NYSE,"Machine Tools, Metal Cutting Types",33
GRBK,0001373670,NYSE,Operative Builders,33
CC,0001627223,NYSE,Chemicals & Allied Products,34
RCUS,0001724521,NYSE,Pharmaceutical Preparations,25
ARQT,0001787306,Nasdaq,Pharmaceutical Preparations,29
HAE,0000313143,NYSE,Surgical & Medical Instruments & Apparatus,35
LION,0002052959,NYSE,Services-Motion Picture & Video Tape Production,27
VERA,0001831828,Nasdaq,Pharmaceutical Preparations,23
IRDM,0001418819,Nasdaq,"Communications Services, NEC",34
PRVA,0001759655,Nasdaq,Services-Health Services,25
MSGE,0001952073,NYSE,Services-Miscellaneous Amusement & Recreation,27
PAGS,0001712807,NYSE,Services-Computer Processing & Data Preparation,0
DHT,0001331284,NYSE,Deep Sea Foreign Transportation of  Freight,0
DJT,0001849635,Nasdaq,"Services-Computer Programming, Data Processing, Etc.",31
BCC,0001328581,NYSE,Wholesale-Lumber & Other Construction Materials,30
LUNR,0001844452,Nasdaq,"Search, Detection, Navigation, Guidance, Aeronautical Sys",26
UCTT,0001275014,Nasdaq,Semiconductors & Related Devices,34
TNGX,0001819133,Nasdaq,Pharmaceutical Preparations,23
UAA,0001336917,NYSE,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,30
VCYT,0001384101,Nasdaq,Services-Medical Laboratories,33
HNI,0000048287,NYSE,Office Furniture (No Wood),33
POWI,0000833640,Nasdaq,Semiconductors & Related Devices,32
BEAM,0001745999,Nasdaq,"Biological Products, (No Diagnostic Substances)",22
ACLS,0001113232,Nasdaq,"Special Industry Machinery, NEC",30
DBD,0000028823,NYSE,Calculating & Accounting Machines (No Electronic Computers),37
MH,0001951070,NYSE,Miscellaneous Publishing,28
MGRC,0000752714,Nasdaq,"Services-Equipment Rental & Leasing, NEC",29
BKE,0000885245,NYSE,Retail-Family Clothing Stores,24
ADEA,0001803696,Nasdaq,Cable & Other Pay Television Services,32
TVTX,0001438533,Nasdaq,Pharmaceutical Preparations,36
RH,0001528849,NYSE,Retail-Furniture Stores,31
LMAT,0001158895,Nasdaq,Surgical & Medical Instruments & Apparatus,32
CHEF,0001517175,Nasdaq,"Wholesale-Groceries, General Line",36
TDC,0000816761,NYSE,Services-Prepackaged Software,32
NHC,0001047335,NYSE,Services-Skilled Nursing Care Facilities,30
CALY,0000837465,NYSE,"Sporting & Athletic Goods, NEC",38
AMBP,0001845097,NYSE,Metal Cans,0
AMPX,0001899287,NYSE,"Miscellaneous Electrical Machinery, Equipment & Supplies",29
LFST,0001845257,Nasdaq,Services-Health Services,28
ATRO,0000008063,Nasdaq,"Aircraft Parts & Auxiliary Equipment, NEC",35
TNK,0001419945,NYSE,Water Transportation,0
ZGN,0001877787,NYSE,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,0
NSIT,0000932696,Nasdaq,Retail-Catalog & Mail-Order Houses,34
PHIN,0001968915,NYSE,Motor Vehicle Parts & Accessories,32
SAM,0000949870,NYSE,Malt Beverages,32
UNFI,0001020859,NYSE,"Wholesale-Groceries, General Line",34
AMR,0001704715,NYSE,Bituminous Coal & Lignite Surface Mining,30
TRN,0000099780,NYSE,Railroad Equipment,30
XRAY,0000818479,Nasdaq,Dental Equipment & Supplies,35
NGVT,0001653477,NYSE,Chemicals & Allied Products,33
BELFA,0000729580,Nasdaq,"Electronic Coils, Transformers & Other Inductors",35
CXT,0000025445,NYSE,Miscellaneous Fabricated Metal Products,38
MAZE,0001842295,Nasdaq,"Biological Products, (No Diagnostic Substances)",21
TENB,0001660280,Nasdaq,Services-Prepackaged Software,28
SHOO,0000913241,Nasdaq,"Footwear, (No Rubber)",33
APLS,0001492422,Nasdaq,Pharmaceutical Preparations,26
WOR,0000108516,NYSE,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",33
VSH,0000103730,NYSE,Electronic Components & Accessories,34
FIGS,0001846576,NYSE,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,28
VC,0001111335,Nasdaq,Motor Vehicle Parts & Accessories,35
YSS,0002086587,NYSE,Guided Missiles & Space Vehicles & Parts,0
VRRM,0001682745,Nasdaq,Transportation Services,34
ANDE,0000821026,Nasdaq,Wholesale-Farm Product Raw Materials,33
BRZE,0001676238,Nasdaq,Services-Prepackaged Software,30
BRSL,0001619762,NYSE,Services-Miscellaneous Amusement & Recreation,0
ASH,0001674862,NYSE,Wholesale-Chemicals & Allied Products,32
WVE,0001631574,Nasdaq,Pharmaceutical Preparations,24
IMNM,0001472012,Nasdaq,Pharmaceutical Preparations,22
SEZL,0001662991,Nasdaq,"Services-Business Services, NEC",24
TXG,0001770787,Nasdaq,Laboratory Analytical Instruments,32
BCRX,0000882796,Nasdaq,"Biological Products, (No Diagnostic Substances)",28
GRND,0001820144,NYSE,"Services-Computer Programming, Data Processing, Etc.",31
RHI,0000315213,NYSE,Services-Help Supply Services,27
ALRM,0001459200,Nasdaq,Services-Prepackaged Software,32
MCW,0001853513,Nasdaq,"Services-Automotive Repair, Services & Parking",28
IRON,0001816736,Nasdaq,Pharmaceutical Preparations,25
NAVN,0001639723,Nasdaq,Services-Prepackaged Software,27
CSGS,0001005757,Nasdaq,Services-Computer Processing & Data Preparation,35
SPSC,0001092699,Nasdaq,Services-Prepackaged Software,33
FRSH,0001544522,Nasdaq,Services-Prepackaged Software,30
NN,0001865631,Nasdaq,"Search, Detection, Navigation, Guidance, Aeronautical Sys",32
BL,0001666134,Nasdaq,Services-Prepackaged Software,32
GEO,0000923796,NYSE,General Bldg Contractors - Residential Bldgs,29
NVTS,0001821769,Nasdaq,Semiconductors & Related Devices,33
AMBA,0001280263,Nasdaq,Semiconductors & Related Devices,35
AVPT,0001777921,Nasdaq,Services-Prepackaged Software,33
PRDO,0001046568,Nasdaq,Services-Educational Services,32
CENT,0000887733,Nasdaq,Wholesale-Miscellaneous Nondurable Goods,33
ABM,0000771497,NYSE,Services-To Dwellings & Other Buildings,32
EYE,0001710155,Nasdaq,Ophthalmic Goods,34
NTCT,0001078075,Nasdaq,Services-Computer Integrated Systems Design,36
FLOC,0002035149,NYSE,Oil & Gas Field Machinery & Equipment,28
WGS,0001818331,Nasdaq,Services-Health Services,32
CPRI,0001530721,NYSE,Leather & Leather Products,34
DAWN,0001845337,Nasdaq,Pharmaceutical Preparations,25
ACHC,0001520697,Nasdaq,"Services-Specialty Outpatient Facilities, NEC",31
BRBR,0001772016,NYSE,Food and Kindred Products,31
OSW,0001758488,Nasdaq,Services-Membership Sports & Recreation Clubs,30
HURN,0001289848,Nasdaq,Services-Management Consulting Services,33
MTX,0000891014,NYSE,Industrial Inorganic Chemicals,31
BBUC,0001871130,NYSE,Construction - Special Trade Contractors,0
GRDN,0001802255,NYSE,Retail-Drug Stores and Proprietary Stores,29
HLIO,0001024795,NYSE,Miscellaneous Fabricated Metal Products,36
RXO,0001929561,NYSE,Transportation Services,28
PAHC,0001069899,Nasdaq,Pharmaceutical Preparations,33
VVX,0001601548,NYSE,Services-Facilities Support Management Services,31
HUN,0001307954,NYSE,Chemicals & Allied Products,35
KN,0001587523,NYSE,Household Audio & Video Equipment,36
PK,0001617406,NYSE,Hotels & Motels,23
VERX,0001806837,Nasdaq,Services-Prepackaged Software,30
IMAX,0000921582,NYSE,Photographic Equipment & Supplies,33
BLKB,0001280058,Nasdaq,Services-Prepackaged Software,31
CECO,0000003197,Nasdaq,Industrial & Commercial Fans & Blowers & Air Purifing Equip,35
SNDX,0001395937,Nasdaq,Pharmaceutical Preparations,26
TGLS,0001534675,NYSE,Flat Glass,35
HUBG,0000940942,Nasdaq,Arrangement of  Transportation of  Freight & Cargo,31
DXPE,0001020710,Nasdaq,Wholesale-Industrial Machinery & Equipment,35
RARE,0001515673,Nasdaq,Pharmaceutical Preparations,31
DNOW,0001599617,NYSE,Oil & Gas Field Machinery & Equipment,35
INTA,0001565687,Nasdaq,Services-Prepackaged Software,32
HOG,0000793952,NYSE,"Motorcycles, Bicycles & Parts",36
SAH,0001043509,NYSE,Retail-Auto Dealers & Gasoline Stations,33
UTI,0001261654,NYSE,Services-Educational Services,32
ADPT,0001478320,Nasdaq,"Biological Products, (No Diagnostic Substances)",28
DXC,0001688568,NYSE,Services-Computer Processing & Data Preparation,32
PLAB,0000810136,Nasdaq,Semiconductors & Related Devices,35
CNXC,0001803599,Nasdaq,"Services-Business Services, NEC",28
TYRA,0001863127,Nasdaq,Pharmaceutical Preparations,20
RCAT,0000748268,Nasdaq,Services-Prepackaged Software,36
EXTR,0001078271,Nasdaq,Computer Communications Equipment,35
ALG,0000897077,NYSE,Farm Machinery & Equipment,34
SEM,0001320414,NYSE,Services-Hospitals,29
NEOG,0000711377,Nasdaq,In Vitro & In Vivo Diagnostic Substances,34
XMTR,0001657573,Nasdaq,"Services-Business Services, NEC",33
CMRE,0001503584,NYSE,Deep Sea Foreign Transportation of  Freight,0
ORKA,0000907654,Nasdaq,Pharmaceutical Preparations,25
PLUS,0001022408,Nasdaq,Wholesale-Computers & Peripheral Equipment & Software,38
MLYS,0001933414,Nasdaq,Pharmaceutical Preparations,19
FDP,0001047340,NYSE,Agricultural Production-Crops,30
ATEC,0001350653,Nasdaq,Surgical & Medical Instruments & Apparatus,37
CLDX,0000744218,Nasdaq,In Vitro & In Vivo Diagnostic Substances,28
GLOB,0001557860,NYSE,Services-Computer Processing & Data Preparation,0
IE,0001879016,NYSE,Metal Mining,27
RDW,0001819810,NYSE,Guided Missiles & Space Vehicles & Parts,33
BHE,0000863436,NYSE,Printed Circuit Boards,34
EPAC,0000006955,NYSE,Misc Industrial & Commercial Machinery & Equipment,33
ANAB,0001370053,Nasdaq,Pharmaceutical Preparations,23
KALU,0000811596,Nasdaq,Rolling Drawing & Extruding of  Nonferrous Metals,32
UNIT,0002020795,Nasdaq,Telephone Communications (No Radiotelephone),25
ARCB,0000894405,Nasdaq,Trucking (No Local),29
GT,0000042582,Nasdaq,Tires & Inner Tubes,33
AUPH,0001600620,Nasdaq,Pharmaceutical Preparations,26
WLY,0000107140,NYSE,Books: Publishing or  Publishing & Printing,34
COTY,0001024305,NYSE,"Perfumes, Cosmetics & Other Toilet Preparations",33
HTFL,0001464521,Nasdaq,Surgical & Medical Instruments & Apparatus,25
AGYS,0000078749,Nasdaq,Services-Computer Integrated Systems Design,33
EOSE,0001805077,Nasdaq,"Miscellaneous Electrical Machinery, Equipment & Supplies",33
GRAL,0001699031,Nasdaq,Services-Medical Laboratories,24
EVTC,0001559865,NYSE,Services-Computer Processing & Data Preparation,32
ATKR,0001666138,NYSE,"Miscellaneous Electrical Machinery, Equipment & Supplies",35
OCUL,0001393434,Nasdaq,Pharmaceutical Preparations,29
DGII,0000854775,Nasdaq,Computer Communications Equipment,35
DCO,0000030305,NYSE,"Aircraft Parts & Auxiliary Equipment, NEC",34
ALKT,0001529274,Nasdaq,Services-Prepackaged Software,31
APPN,0001441683,Nasdaq,Services-Prepackaged Software,35
BBAI,0001836981,NYSE,Services-Prepackaged Software,29
STOK,0001623526,Nasdaq,Pharmaceutical Preparations,23
ADUS,0001468328,Nasdaq,Services-Home Health Care Services,34
PENN,0000921738,Nasdaq,Hotels & Motels,33
FA,0001210677,Nasdaq,Services-Computer Processing & Data Preparation,33
VECO,0000103145,Nasdaq,"Special Industry Machinery, NEC",37
RUM,0001830081,Nasdaq,"Services-Computer Programming, Data Processing, Etc.",29
FLO,0001128928,NYSE,Food and Kindred Products,32
RLAY,0001812364,Nasdaq,"Biological Products, (No Diagnostic Substances)",24
STRA,0001013934,Nasdaq,Services-Educational Services,31
EVCM,0001853145,Nasdaq,Services-Prepackaged Software,29
TNET,0000937098,NYSE,"Services-Business Services, NEC",30
SEMR,0001831840,NYSE,Services-Prepackaged Software,30
RXRX,0001601830,Nasdaq,"Biological Products, (No Diagnostic Substances)",31
SLNO,0001484565,Nasdaq,Pharmaceutical Preparations,32
DFTX,0001813814,Nasdaq,Medicinal Chemicals & Botanical Products,22
ROG,0000084748,NYSE,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",36
PRKS,0001564902,NYSE,Services-Miscellaneous Amusement & Recreation,30
FUN,0001999001,NYSE,Services-Amusement & Recreation Services,29
AORT,0000784199,NYSE,Surgical & Medical Instruments & Apparatus,36
CMPR,0001262976,Nasdaq,Commercial Printing,34
CAPR,0001133869,Nasdaq,Pharmaceutical Preparations,28
GTM,0001794515,Nasdaq,Services-Prepackaged Software,30
ZYME,0001937653,Nasdaq,Pharmaceutical Preparations,25
FMC,0000037785,NYSE,Chemicals & Allied Products,33
MGNI,0001595974,Nasdaq,"Services-Computer Programming, Data Processing, Etc.",30
RAMP,0000733269,NYSE,Services-Computer Processing & Data Preparation,32
TPB,0001290677,NYSE,Tobacco Products,33
SRPT,0000873303,Nasdaq,Pharmaceutical Preparations,35
MQ,0001522540,Nasdaq,Services-Prepackaged Software,25
NCNO,0001902733,Nasdaq,Services-Prepackaged Software,32
PTON,0001639825,Nasdaq,"Sporting & Athletic Goods, NEC",31
DRVN,0001804745,Nasdaq,"Services-Automotive Repair, Services & Parking",30
SPB,0000109177,NYSE,"Miscellaneous Electrical Machinery, Equipment & Supplies",37
MCRI,0000907242,Nasdaq,Hotels & Motels,33
TIC,0002032966,NYSE,"Services-Business Services, NEC",28
NVAX,0001000694,Nasdaq,"Biological Products, (No Diagnostic Substances)",32
VOYG,0001788060,NYSE,Guided Missiles & Space Vehicles & Parts,30
SHO,0001295810,NYSE,Hotels & Motels,28
BLBD,0001589526,Nasdaq,Truck & Bus Bodies,33
INVX,0001042893,NYSE,Oil & Gas Field Machinery & Equipment,36
CCS,0001576940,NYSE,Operative Builders,27
PVLA,0001583648,Nasdaq,Pharmaceutical Preparations,25
SNDA,0001043000,NYSE,Services-Nursing & Personal Care Facilities,28
IOSP,0001054905,Nasdaq,Chemicals & Allied Products,30
AXGN,0000805928,Nasdaq,Electromedical & Electrotherapeutic Apparatus,33
AGIO,0001439222,Nasdaq,Pharmaceutical Preparations,29
QUBT,0001758009,Nasdaq,Services-Prepackaged Software,31
PAYO,0001845815,Nasdaq,"Services-Business Services, NEC",29
MD,0000893949,NYSE,Services-Hospitals,31
WMK,0000105418,NYSE,Retail-Grocery Stores,29
ZD,0001084048,Nasdaq,Telegraph & Other Message Communications,32
PBI,0000078814,NYSE,"Office Machines, NEC",35
ANIP,0001023024,Nasdaq,Pharmaceutical Preparations,34
OGN,0001821825,NYSE,Pharmaceutical Preparations,32
ELVN,0001672619,Nasdaq,Pharmaceutical Preparations,22
RVLV,0001746618,NYSE,Retail-Catalog & Mail-Order Houses,29
IMKTA,0000050493,Nasdaq,Retail-Grocery Stores,25
WS,0001968487,NYSE,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",28
TE,0001992243,NYSE,Semiconductors & Related Devices,32
VCEL,0000887359,Nasdaq,"Biological Products, (No Diagnostic Substances)",31
ICHR,0001652535,Nasdaq,Semiconductors & Related Devices,34
INVA,0001080014,Nasdaq,Pharmaceutical Preparations,37
OI,0000812074,NYSE,Glass Containers,36
HRMY,0001802665,Nasdaq,Pharmaceutical Preparations,30
SGRY,0001638833,Nasdaq,"Services-General Medical & Surgical Hospitals, NEC",30
WERN,0000793074,Nasdaq,Trucking (No Local),30
CLVT,0001764046,NYSE,Services-Computer Processing & Data Preparation,30
TNDM,0001438133,Nasdaq,Surgical & Medical Instruments & Apparatus,33
SLVM,0001856485,NYSE,Paper Mills,27
SONO,0001314727,Nasdaq,Household Audio & Video Equipment,35
THR,0001489096,NYSE,Electrical Industrial Apparatus,38
GRC,0000042682,NYSE,Pumps & Pumping Equipment,32
ASAN,0001477720,NYSE,Services-Prepackaged Software,26
DV,0001819928,NYSE,"Services-Computer Programming, Data Processing, Etc.",28
NWL,0000814453,Nasdaq,"Plastics Products, NEC",34
UPWK,0001627475,Nasdaq,Services-Computer Processing & Data Preparation,30
GBX,0000923120,NYSE,Railroad Equipment,30
SION,0002036042,Nasdaq,Pharmaceutical Preparations,18
ADNT,0001670541,NYSE,Motor Vehicle Parts & Accessories,31
HLF,0001180262,NYSE,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",32
IOVA,0001425205,Nasdaq,"Biological Products, (No Diagnostic Substances)",31
INSP,0001609550,NYSE,Surgical & Medical Instruments & Apparatus,31
HLMN,0001822492,Nasdaq,"Cutlery, Handtools & General Hardware",30
GCT,0001857816,Nasdaq,Retail-Catalog & Mail-Order Houses,32
OMCL,0000926326,Nasdaq,Electronic Computers,38
